run,time,traffic_light_id,action
1,945.0,J1,0
1,945.0,J2,1
1,945.0,J3,0
1,950.0,J1,0
1,950.0,J2,1
1,950.0,J3,0
1,955.0,J1,0
1,955.0,J2,0
1,955.0,J3,1
1,960.0,J1,0
1,960.0,J2,0
1,960.0,J3,0
1,965.0,J1,0
1,965.0,J2,0
1,965.0,J3,0
1,970.0,J1,0
1,970.0,J2,0
1,970.0,J3,0
1,975.0,J1,0
1,975.0,J2,0
1,975.0,J3,0
1,980.0,J1,0
1,980.0,J2,0
1,980.0,J3,1
1,985.0,J1,0
1,985.0,J2,1
1,985.0,J3,0
1,990.0,J1,0
1,990.0,J2,0
1,990.0,J3,0
1,995.0,J1,0
1,995.0,J2,0
1,995.0,J3,0
1,1000.0,J1,0
1,1000.0,J2,0
1,1000.0,J3,0
1,1005.0,J1,0
1,1005.0,J2,0
1,1005.0,J3,0
1,1010.0,J1,0
1,1010.0,J2,1
1,1010.0,J3,0
1,1015.0,J1,0
1,1015.0,J2,1
1,1015.0,J3,1
1,1020.0,J1,0
1,1020.0,J2,0
1,1020.0,J3,0
1,1025.0,J1,0
1,1025.0,J2,0
1,1025.0,J3,1
1,1030.0,J1,0
1,1030.0,J2,0
1,1030.0,J3,0
1,1035.0,J1,0
1,1035.0,J2,1
1,1035.0,J3,0
1,1040.0,J1,0
1,1040.0,J2,0
1,1040.0,J3,0
1,1045.0,J1,0
1,1045.0,J2,1
1,1045.0,J3,0
1,1050.0,J1,0
1,1050.0,J2,0
1,1050.0,J3,0
1,1055.0,J1,0
1,1055.0,J2,0
1,1055.0,J3,1
1,1060.0,J1,0
1,1060.0,J2,0
1,1060.0,J3,0
1,1065.0,J1,0
1,1065.0,J2,0
1,1065.0,J3,0
1,1070.0,J1,0
1,1070.0,J2,0
1,1070.0,J3,0
1,1075.0,J1,0
1,1075.0,J2,0
1,1075.0,J3,0
1,1080.0,J1,0
1,1080.0,J2,0
1,1080.0,J3,0
1,1085.0,J1,0
1,1085.0,J2,1
1,1085.0,J3,1
1,1090.0,J1,0
1,1090.0,J2,0
1,1090.0,J3,1
1,1095.0,J1,0
1,1095.0,J2,0
1,1095.0,J3,0
1,1100.0,J1,0
1,1100.0,J2,0
1,1100.0,J3,0
1,1105.0,J1,0
1,1105.0,J2,0
1,1105.0,J3,0
1,1110.0,J1,0
1,1110.0,J2,1
1,1110.0,J3,0
1,1115.0,J1,0
1,1115.0,J2,1
1,1115.0,J3,1
1,1120.0,J1,1
1,1120.0,J2,1
1,1120.0,J3,0
1,1125.0,J1,0
1,1125.0,J2,0
1,1125.0,J3,1
1,1130.0,J1,0
1,1130.0,J2,0
1,1130.0,J3,0
1,1135.0,J1,0
1,1135.0,J2,0
1,1135.0,J3,1
1,1140.0,J1,0
1,1140.0,J2,0
1,1140.0,J3,0
1,1145.0,J1,0
1,1145.0,J2,0
1,1145.0,J3,0
1,1150.0,J1,0
1,1150.0,J2,0
1,1150.0,J3,1
1,1155.0,J1,0
1,1155.0,J2,0
1,1155.0,J3,0
1,1160.0,J1,0
1,1160.0,J2,0
1,1160.0,J3,0
1,1165.0,J1,0
1,1165.0,J2,1
1,1165.0,J3,0
1,1170.0,J1,1
1,1170.0,J2,0
1,1170.0,J3,0
1,1175.0,J1,0
1,1175.0,J2,0
1,1175.0,J3,0
1,1180.0,J1,0
1,1180.0,J2,0
1,1180.0,J3,0
1,1185.0,J1,0
1,1185.0,J2,0
1,1185.0,J3,0
1,1190.0,J1,1
1,1190.0,J2,1
1,1190.0,J3,0
1,1195.0,J1,0
1,1195.0,J2,1
1,1195.0,J3,0
1,1200.0,J1,0
1,1200.0,J2,0
1,1200.0,J3,0
1,1205.0,J1,0
1,1205.0,J2,0
1,1205.0,J3,1
1,1210.0,J1,0
1,1210.0,J2,0
1,1210.0,J3,1
1,1215.0,J1,0
1,1215.0,J2,0
1,1215.0,J3,0
1,1220.0,J1,0
1,1220.0,J2,0
1,1220.0,J3,0
1,1225.0,J1,0
1,1225.0,J2,0
1,1225.0,J3,0
1,1230.0,J1,0
1,1230.0,J2,0
1,1230.0,J3,0
1,1235.0,J1,0
1,1235.0,J2,0
1,1235.0,J3,1
1,1240.0,J1,0
1,1240.0,J2,0
1,1240.0,J3,0
1,1245.0,J1,0
1,1245.0,J2,0
1,1245.0,J3,0
1,1250.0,J1,0
1,1250.0,J2,0
1,1250.0,J3,0
1,1255.0,J1,0
1,1255.0,J2,0
1,1255.0,J3,0
1,1260.0,J1,1
1,1260.0,J2,0
1,1260.0,J3,0
1,1265.0,J1,0
1,1265.0,J2,0
1,1265.0,J3,0
1,1270.0,J1,1
1,1270.0,J2,0
1,1270.0,J3,1
1,1275.0,J1,0
1,1275.0,J2,0
1,1275.0,J3,1
1,1280.0,J1,0
1,1280.0,J2,0
1,1280.0,J3,0
1,1285.0,J1,0
1,1285.0,J2,1
1,1285.0,J3,0
1,1290.0,J1,1
1,1290.0,J2,0
1,1290.0,J3,0
1,1295.0,J1,0
1,1295.0,J2,0
1,1295.0,J3,0
1,1300.0,J1,0
1,1300.0,J2,0
1,1300.0,J3,1
1,1305.0,J1,0
1,1305.0,J2,0
1,1305.0,J3,0
1,1310.0,J1,0
1,1310.0,J2,0
1,1310.0,J3,0
1,1315.0,J1,0
1,1315.0,J2,0
1,1315.0,J3,0
1,1320.0,J1,0
1,1320.0,J2,0
1,1320.0,J3,0
1,1325.0,J1,0
1,1325.0,J2,0
1,1325.0,J3,0
1,1330.0,J1,0
1,1330.0,J2,0
1,1330.0,J3,0
1,1335.0,J1,0
1,1335.0,J2,1
1,1335.0,J3,1
1,1340.0,J1,0
1,1340.0,J2,0
1,1340.0,J3,0
1,1345.0,J1,0
1,1345.0,J2,0
1,1345.0,J3,0
1,1350.0,J1,1
1,1350.0,J2,0
1,1350.0,J3,0
1,1355.0,J1,0
1,1355.0,J2,0
1,1355.0,J3,0
1,1360.0,J1,0
1,1360.0,J2,1
1,1360.0,J3,0
1,1365.0,J1,0
1,1365.0,J2,1
1,1365.0,J3,0
1,1370.0,J1,0
1,1370.0,J2,0
1,1370.0,J3,1
1,1375.0,J1,0
1,1375.0,J2,0
1,1375.0,J3,0
1,1380.0,J1,0
1,1380.0,J2,0
1,1380.0,J3,0
1,1385.0,J1,0
1,1385.0,J2,0
1,1385.0,J3,0
1,1390.0,J1,0
1,1390.0,J2,0
1,1390.0,J3,0
1,1395.0,J1,0
1,1395.0,J2,0
1,1395.0,J3,0
1,1400.0,J1,0
1,1400.0,J2,0
1,1400.0,J3,0
1,1405.0,J1,0
1,1405.0,J2,0
1,1405.0,J3,1
1,1410.0,J1,1
1,1410.0,J2,0
1,1410.0,J3,1
1,1415.0,J1,0
1,1415.0,J2,0
1,1415.0,J3,1
1,1420.0,J1,0
1,1420.0,J2,1
1,1420.0,J3,0
1,1425.0,J1,0
1,1425.0,J2,0
1,1425.0,J3,0
1,1430.0,J1,0
1,1430.0,J2,0
1,1430.0,J3,0
1,1435.0,J1,0
1,1435.0,J2,0
1,1435.0,J3,0
1,1440.0,J1,0
1,1440.0,J2,0
1,1440.0,J3,1
1,1445.0,J1,0
1,1445.0,J2,0
1,1445.0,J3,1
1,1450.0,J1,0
1,1450.0,J2,0
1,1450.0,J3,0
1,1455.0,J1,0
1,1455.0,J2,0
1,1455.0,J3,0
1,1460.0,J1,0
1,1460.0,J2,1
1,1460.0,J3,0
1,1465.0,J1,1
1,1465.0,J2,0
1,1465.0,J3,0
1,1470.0,J1,0
1,1470.0,J2,0
1,1470.0,J3,0
1,1475.0,J1,0
1,1475.0,J2,0
1,1475.0,J3,1
1,1480.0,J1,0
1,1480.0,J2,0
1,1480.0,J3,1
1,1485.0,J1,0
1,1485.0,J2,0
1,1485.0,J3,0
1,1490.0,J1,0
1,1490.0,J2,1
1,1490.0,J3,0
1,1495.0,J1,0
1,1495.0,J2,0
1,1495.0,J3,0
1,1500.0,J1,0
1,1500.0,J2,0
1,1500.0,J3,0
1,1505.0,J1,0
1,1505.0,J2,0
1,1505.0,J3,1
1,1510.0,J1,0
1,1510.0,J2,0
1,1510.0,J3,0
1,1515.0,J1,0
1,1515.0,J2,0
1,1515.0,J3,0
1,1520.0,J1,0
1,1520.0,J2,1
1,1520.0,J3,0
1,1525.0,J1,0
1,1525.0,J2,0
1,1525.0,J3,0
1,1530.0,J1,0
1,1530.0,J2,0
1,1530.0,J3,0
1,1535.0,J1,0
1,1535.0,J2,0
1,1535.0,J3,1
1,1540.0,J1,1
1,1540.0,J2,0
1,1540.0,J3,1
1,1545.0,J1,0
1,1545.0,J2,0
1,1545.0,J3,0
1,1550.0,J1,0
1,1550.0,J2,0
1,1550.0,J3,0
1,1555.0,J1,0
1,1555.0,J2,1
1,1555.0,J3,0
1,1560.0,J1,0
1,1560.0,J2,1
1,1560.0,J3,0
1,1565.0,J1,0
1,1565.0,J2,0
1,1565.0,J3,1
1,1570.0,J1,0
1,1570.0,J2,0
1,1570.0,J3,0
1,1575.0,J1,0
1,1575.0,J2,0
1,1575.0,J3,0
1,1580.0,J1,0
1,1580.0,J2,0
1,1580.0,J3,0
1,1585.0,J1,1
1,1585.0,J2,0
1,1585.0,J3,1
1,1590.0,J1,0
1,1590.0,J2,0
1,1590.0,J3,0
1,1595.0,J1,0
1,1595.0,J2,0
1,1595.0,J3,0
1,1600.0,J1,0
1,1600.0,J2,1
1,1600.0,J3,0
1,1605.0,J1,0
1,1605.0,J2,0
1,1605.0,J3,0
1,1610.0,J1,0
1,1610.0,J2,0
1,1610.0,J3,0
1,1615.0,J1,0
1,1615.0,J2,1
1,1615.0,J3,0
1,1620.0,J1,1
1,1620.0,J2,0
1,1620.0,J3,1
1,1625.0,J1,0
1,1625.0,J2,0
1,1625.0,J3,1
1,1630.0,J1,0
1,1630.0,J2,0
1,1630.0,J3,0
1,1635.0,J1,0
1,1635.0,J2,1
1,1635.0,J3,0
1,1640.0,J1,0
1,1640.0,J2,0
1,1640.0,J3,0
1,1645.0,J1,0
1,1645.0,J2,0
1,1645.0,J3,1
1,1650.0,J1,0
1,1650.0,J2,0
1,1650.0,J3,0
1,1655.0,J1,0
1,1655.0,J2,0
1,1655.0,J3,0
1,1660.0,J1,0
1,1660.0,J2,0
1,1660.0,J3,0
1,1665.0,J1,0
1,1665.0,J2,0
1,1665.0,J3,0
1,1670.0,J1,0
1,1670.0,J2,0
1,1670.0,J3,0
1,1675.0,J1,0
1,1675.0,J2,0
1,1675.0,J3,0
1,1680.0,J1,0
1,1680.0,J2,1
1,1680.0,J3,0
1,1685.0,J1,0
1,1685.0,J2,0
1,1685.0,J3,0
1,1690.0,J1,1
1,1690.0,J2,1
1,1690.0,J3,0
1,1695.0,J1,0
1,1695.0,J2,0
1,1695.0,J3,0
1,1700.0,J1,0
1,1700.0,J2,0
1,1700.0,J3,1
1,1705.0,J1,0
1,1705.0,J2,0
1,1705.0,J3,0
1,1710.0,J1,0
1,1710.0,J2,0
1,1710.0,J3,0
1,1715.0,J1,0
1,1715.0,J2,1
1,1715.0,J3,0
1,1720.0,J1,0
1,1720.0,J2,0
1,1720.0,J3,0
1,1725.0,J1,0
1,1725.0,J2,0
1,1725.0,J3,0
1,1730.0,J1,0
1,1730.0,J2,0
1,1730.0,J3,0
1,1735.0,J1,0
1,1735.0,J2,0
1,1735.0,J3,1
1,1740.0,J1,0
1,1740.0,J2,0
1,1740.0,J3,1
1,1745.0,J1,0
1,1745.0,J2,0
1,1745.0,J3,0
1,1750.0,J1,0
1,1750.0,J2,0
1,1750.0,J3,0
1,1755.0,J1,0
1,1755.0,J2,0
1,1755.0,J3,0
1,1760.0,J1,1
1,1760.0,J2,0
1,1760.0,J3,0
1,1765.0,J1,0
1,1765.0,J2,1
1,1765.0,J3,0
1,1770.0,J1,0
1,1770.0,J2,0
1,1770.0,J3,0
1,1775.0,J1,0
1,1775.0,J2,1
1,1775.0,J3,0
1,1780.0,J1,1
1,1780.0,J2,0
1,1780.0,J3,1
1,1785.0,J1,0
1,1785.0,J2,0
1,1785.0,J3,0
1,1790.0,J1,0
1,1790.0,J2,0
1,1790.0,J3,1
1,1795.0,J1,0
1,1795.0,J2,0
1,1795.0,J3,0
1,1800.0,J1,1
1,1800.0,J2,1
1,1800.0,J3,0
1,1805.0,J1,0
1,1805.0,J2,0
1,1805.0,J3,0
1,1810.0,J1,0
1,1810.0,J2,0
1,1810.0,J3,0
1,1815.0,J1,0
1,1815.0,J2,0
1,1815.0,J3,1
1,1820.0,J1,0
1,1820.0,J2,0
1,1820.0,J3,1
1,1825.0,J1,0
1,1825.0,J2,0
1,1825.0,J3,0
1,1830.0,J1,0
1,1830.0,J2,0
1,1830.0,J3,0
1,1835.0,J1,1
1,1835.0,J2,0
1,1835.0,J3,0
1,1840.0,J1,0
1,1840.0,J2,0
1,1840.0,J3,0
1,1845.0,J1,0
1,1845.0,J2,0
