Czas(s),Calkowity czas oczekiwania(s)
4020.0,340.0
4025.0,340.0
4030.0,360.0
4035.0,300.0
4040.0,290.0
4045.0,300.0
4050.0,250.0
4055.0,280.0
4060.0,315.0
4065.0,330.0
4070.0,345.0
4075.0,325.0
4080.0,220.0
4085.0,220.0
4090.0,185.0
4095.0,175.0
4100.0,185.0
4105.0,185.0
4110.0,180.0
4115.0,175.0
4120.0,160.0
4125.0,185.0
4130.0,110.0
4135.0,135.0
4140.0,145.0
4145.0,160.0
4150.0,160.0
4155.0,140.0
4160.0,165.0
4165.0,155.0
4170.0,145.0
4175.0,155.0
4180.0,200.0
4185.0,210.0
4190.0,215.0
4195.0,210.0
4200.0,215.0
4205.0,195.0
4210.0,165.0
4215.0,175.0
4220.0,175.0
4225.0,155.0
4230.0,165.0
4235.0,170.0
4240.0,175.0
4245.0,190.0
4250.0,140.0
4255.0,150.0
4260.0,175.0
4265.0,190.0
4270.0,190.0
4275.0,210.0
4280.0,170.0
4285.0,180.0
4290.0,195.0
4295.0,200.0
4300.0,185.0
4305.0,120.0
4310.0,155.0
4315.0,165.0
4320.0,205.0
4325.0,190.0
4330.0,175.0
4335.0,190.0
4340.0,185.0
4345.0,180.0
4350.0,215.0
4355.0,195.0
4360.0,195.0
4365.0,210.0
4370.0,200.0
4375.0,175.0
4380.0,130.0
4385.0,115.0
4390.0,110.0
4395.0,85.0
4400.0,120.0
4405.0,140.0
4410.0,145.0
4415.0,130.0
4420.0,115.0
4425.0,75.0
4430.0,70.0
4435.0,70.0
4440.0,100.0
4445.0,130.0
4450.0,140.0
4455.0,145.0
4460.0,160.0
4465.0,160.0
4470.0,165.0
4475.0,150.0
4480.0,170.0
4485.0,175.0
4490.0,160.0
4495.0,145.0
4500.0,155.0
4505.0,185.0
4510.0,225.0
4515.0,260.0
4520.0,290.0
4525.0,330.0
4530.0,350.0
4535.0,375.0
4540.0,375.0
4545.0,410.0
4550.0,425.0
4555.0,455.0
4560.0,490.0
4565.0,540.0
4570.0,460.0
4575.0,480.0
4580.0,480.0
4585.0,450.0
4590.0,430.0
4595.0,430.0
4600.0,360.0
4605.0,285.0
4610.0,275.0
4615.0,235.0
4620.0,210.0
4625.0,225.0
4630.0,225.0
4635.0,265.0
4640.0,285.0
4645.0,310.0
4650.0,350.0
4655.0,360.0
4660.0,305.0
4665.0,275.0
4670.0,310.0
4675.0,325.0
4680.0,365.0
4685.0,325.0
4690.0,340.0
4695.0,335.0
4700.0,300.0
4705.0,275.0
4710.0,270.0
4715.0,285.0
4720.0,290.0
4725.0,265.0
4730.0,235.0
4735.0,220.0
4740.0,235.0
4745.0,210.0
4750.0,240.0
4755.0,270.0
4760.0,300.0
4765.0,295.0
4770.0,305.0
4775.0,275.0
4780.0,250.0
4785.0,285.0
4790.0,245.0
4795.0,180.0
4800.0,200.0
4805.0,185.0
4810.0,185.0
4815.0,185.0
4820.0,185.0
4825.0,170.0
4830.0,200.0
4835.0,140.0
4840.0,160.0
4845.0,190.0
4850.0,210.0
4855.0,220.0
4860.0,240.0
4865.0,230.0
4870.0,215.0
4875.0,195.0
4880.0,125.0
4885.0,150.0
4890.0,170.0
4895.0,170.0
4900.0,190.0
4905.0,195.0
4910.0,210.0
4915.0,215.0
4920.0,180.0
4925.0,160.0
4930.0,195.0
4935.0,230.0
4940.0,265.0
4945.0,290.0
4950.0,290.0
4955.0,245.0
4960.0,265.0
4965.0,310.0
4970.0,320.0
4975.0,300.0
4980.0,335.0
4985.0,385.0
4990.0,400.0
4995.0,420.0
5000.0,470.0
5005.0,485.0
5010.0,500.0
5015.0,555.0
5020.0,500.0
5025.0,525.0
5030.0,515.0
5035.0,550.0
5040.0,580.0
5045.0,605.0
5050.0,575.0
5055.0,595.0
5060.0,630.0
5065.0,545.0
5070.0,610.0
5075.0,590.0
5080.0,585.0
5085.0,545.0
5090.0,530.0
5095.0,460.0
5100.0,495.0
5105.0,535.0
5110.0,520.0
5115.0,560.0
5120.0,575.0
5125.0,515.0
5130.0,520.0
5135.0,560.0
5140.0,470.0
5145.0,410.0
5150.0,425.0
5155.0,410.0
5160.0,390.0
5165.0,330.0
5170.0,325.0
5175.0,335.0
5180.0,355.0
5185.0,305.0
5190.0,300.0
5195.0,310.0
5200.0,320.0
5205.0,350.0
5210.0,360.0
5215.0,360.0
5220.0,345.0
5225.0,330.0
5230.0,355.0
5235.0,310.0
5240.0,255.0
5245.0,235.0
5250.0,255.0
5255.0,255.0
5260.0,250.0
5265.0,255.0
5270.0,255.0
5275.0,250.0
5280.0,260.0
5285.0,305.0
5290.0,250.0
5295.0,245.0
5300.0,230.0
5305.0,230.0
5310.0,245.0
5315.0,145.0
5320.0,165.0
5325.0,150.0
5330.0,150.0
5335.0,140.0
5340.0,165.0
5345.0,170.0
5350.0,200.0
5355.0,225.0
5360.0,195.0
5365.0,220.0
5370.0,235.0
5375.0,255.0
5380.0,265.0
5385.0,235.0
5390.0,270.0
5395.0,265.0
5400.0,295.0
5405.0,305.0
5410.0,330.0
5415.0,320.0
5420.0,360.0
5425.0,415.0
5430.0,455.0
5435.0,475.0
5440.0,460.0
5445.0,460.0
5450.0,495.0
5455.0,535.0
5460.0,545.0
5465.0,540.0
5470.0,555.0
5475.0,565.0
5480.0,580.0
5485.0,540.0
5490.0,425.0
5495.0,390.0
5500.0,345.0
5505.0,315.0
5510.0,265.0
5515.0,270.0
5520.0,210.0
5525.0,200.0
5530.0,210.0
5535.0,235.0
5540.0,220.0
5545.0,180.0
5550.0,190.0
5555.0,205.0
5560.0,210.0
5565.0,240.0
5570.0,275.0
5575.0,310.0
5580.0,340.0
5585.0,370.0
5590.0,350.0
5595.0,360.0
5600.0,395.0
5605.0,390.0
5610.0,360.0
5615.0,305.0
5620.0,325.0
5625.0,345.0
5630.0,360.0
5635.0,370.0
5640.0,390.0
5645.0,360.0
5650.0,335.0
5655.0,220.0
5660.0,255.0
5665.0,285.0
5670.0,305.0
5675.0,300.0
5680.0,325.0
5685.0,255.0
5690.0,255.0
5695.0,255.0
5700.0,280.0
5705.0,205.0
5710.0,225.0
5715.0,250.0
5720.0,245.0
5725.0,275.0
5730.0,285.0
5735.0,320.0
5740.0,310.0
5745.0,320.0
5750.0,320.0
5755.0,335.0
5760.0,290.0
5765.0,250.0
5770.0,200.0
5775.0,215.0
5780.0,205.0
5785.0,210.0
5790.0,215.0
5795.0,225.0
5800.0,200.0
5805.0,225.0
5810.0,195.0
5815.0,210.0
5820.0,220.0
5825.0,200.0
5830.0,225.0
5835.0,240.0
5840.0,245.0
5845.0,280.0
5850.0,290.0
5855.0,265.0
5860.0,250.0
5865.0,225.0
5870.0,215.0
5875.0,235.0
5880.0,260.0
5885.0,260.0
5890.0,295.0
5895.0,310.0
5900.0,270.0
5905.0,310.0
5910.0,260.0
5915.0,280.0
5920.0,225.0
5925.0,185.0
5930.0,180.0
5935.0,195.0
5940.0,185.0
5945.0,210.0
5950.0,165.0
5955.0,185.0
5960.0,170.0
5965.0,200.0
5970.0,180.0
5975.0,180.0
5980.0,145.0
5985.0,170.0
5990.0,185.0
5995.0,180.0
6000.0,195.0
6005.0,220.0
6010.0,195.0
6015.0,195.0
6020.0,195.0
6025.0,215.0
6030.0,245.0
6035.0,255.0
6040.0,285.0
6045.0,275.0
6050.0,275.0
6055.0,275.0
6060.0,255.0
6065.0,195.0
6070.0,210.0
6075.0,195.0
6080.0,200.0
6085.0,190.0
6090.0,170.0
6095.0,160.0
6100.0,180.0
6105.0,190.0
6110.0,180.0
6115.0,185.0
6120.0,155.0
6125.0,180.0
6130.0,200.0
6135.0,180.0
6140.0,195.0
6145.0,215.0
6150.0,180.0
6155.0,190.0
6160.0,210.0
6165.0,205.0
6170.0,245.0
6175.0,275.0
6180.0,285.0
6185.0,245.0
6190.0,270.0
6195.0,250.0
6200.0,255.0
6205.0,275.0
6210.0,310.0
6215.0,280.0
6220.0,290.0
6225.0,315.0
6230.0,360.0
6235.0,395.0
6240.0,430.0
6245.0,445.0
6250.0,450.0
6255.0,365.0
6260.0,380.0
6265.0,390.0
6270.0,325.0
6275.0,330.0
6280.0,265.0
6285.0,205.0
6290.0,245.0
6295.0,235.0
6300.0,250.0
6305.0,235.0
6310.0,250.0
6315.0,295.0
6320.0,290.0
6325.0,340.0
6330.0,365.0
6335.0,360.0
6340.0,365.0
6345.0,420.0
6350.0,410.0
6355.0,430.0
6360.0,440.0
6365.0,455.0
6370.0,460.0
6375.0,305.0
6380.0,320.0
6385.0,320.0
6390.0,295.0
6395.0,320.0
6400.0,335.0
6405.0,330.0
6410.0,365.0
6415.0,395.0
6420.0,440.0
6425.0,400.0
6430.0,365.0
6435.0,400.0
6440.0,435.0
6445.0,480.0
6450.0,520.0
6455.0,455.0
6460.0,495.0
6465.0,485.0
6470.0,510.0
6475.0,500.0
6480.0,520.0
6485.0,450.0
6490.0,445.0
6495.0,475.0
6500.0,470.0
6505.0,495.0
6510.0,395.0
6515.0,425.0
6520.0,425.0
6525.0,430.0
6530.0,450.0
6535.0,440.0
6540.0,415.0
6545.0,360.0
6550.0,310.0
6555.0,330.0
6560.0,275.0
6565.0,245.0
6570.0,195.0
6575.0,195.0
6580.0,235.0
6585.0,270.0
6590.0,310.0
6595.0,285.0
6600.0,305.0
6605.0,300.0
6610.0,320.0
6615.0,355.0
6620.0,265.0
6625.0,275.0
6630.0,265.0
6635.0,280.0
6640.0,220.0
6645.0,245.0
6650.0,245.0
6655.0,245.0
6660.0,190.0
6665.0,215.0
6670.0,205.0
6675.0,230.0
6680.0,200.0
6685.0,245.0
6690.0,265.0
6695.0,265.0
6700.0,295.0
6705.0,305.0
6710.0,270.0
6715.0,255.0
6720.0,270.0
6725.0,280.0
6730.0,260.0
6735.0,260.0
6740.0,215.0
6745.0,210.0
6750.0,225.0
6755.0,225.0
6760.0,270.0
6765.0,275.0
6770.0,250.0
6775.0,270.0
6780.0,315.0
6785.0,270.0
6790.0,205.0
6795.0,200.0
6800.0,220.0
6805.0,200.0
6810.0,170.0
6815.0,165.0
6820.0,190.0
6825.0,175.0
6830.0,200.0
6835.0,160.0
6840.0,170.0
6845.0,215.0
6850.0,215.0
6855.0,255.0
6860.0,280.0
6865.0,315.0
