Czas(s),Calkowity czas oczekiwania(s)
4475.0,103.0
4480.0,133.0
4485.0,163.0
4490.0,61.0
4495.0,13.0
4500.0,50.0
4505.0,115.0
4510.0,213.0
4515.0,342.0
4520.0,500.0
4525.0,684.0
4530.0,874.0
4535.0,812.0
4540.0,617.0
4545.0,392.0
4550.0,118.0
4555.0,11.0
4560.0,26.0
4565.0,45.0
4570.0,65.0
4575.0,86.0
4580.0,1.0
4585.0,26.0
4590.0,78.0
4595.0,162.0
4600.0,276.0
4605.0,424.0
4610.0,605.0
4615.0,795.0
4620.0,985.0
4625.0,757.0
4630.0,553.0
4635.0,324.0
4640.0,101.0
4645.0,58.0
4650.0,84.0
4655.0,119.0
4660.0,161.0
4665.0,122.0
4670.0,9.0
4675.0,45.0
4680.0,105.0
4685.0,193.0
4690.0,311.0
4695.0,462.0
4700.0,642.0
4705.0,832.0
4710.0,853.0
4715.0,617.0
4720.0,407.0
4725.0,178.0
4730.0,10.0
4735.0,22.0
4740.0,37.0
4745.0,57.0
4750.0,82.0
4755.0,2.0
4760.0,27.0
4765.0,87.0
4770.0,174.0
4775.0,293.0
4780.0,452.0
4785.0,632.0
4790.0,822.0
4795.0,1012.0
4800.0,855.0
4805.0,632.0
4810.0,428.0
4815.0,154.0
4820.0,29.0
4825.0,41.0
4830.0,59.0
4835.0,79.0
4840.0,104.0
4845.0,11.0
4850.0,44.0
4855.0,106.0
4860.0,199.0
4865.0,317.0
4870.0,467.0
4875.0,648.0
4880.0,838.0
4885.0,942.0
4890.0,700.0
4895.0,490.0
4900.0,328.0
4905.0,41.0
4910.0,64.0
4915.0,95.0
4920.0,133.0
4925.0,175.0
4930.0,79.0
4935.0,15.0
4940.0,62.0
4945.0,140.0
4950.0,247.0
4955.0,378.0
4960.0,537.0
4965.0,725.0
4970.0,915.0
4975.0,850.0
4980.0,637.0
4985.0,434.0
4990.0,183.0
4995.0,0.0
5000.0,5.0
5005.0,13.0
5010.0,23.0
5015.0,36.0
5020.0,2.0
5025.0,24.0
5030.0,75.0
5035.0,157.0
5040.0,269.0
5045.0,413.0
5050.0,592.0
5055.0,782.0
5060.0,972.0
5065.0,743.0
5070.0,545.0
5075.0,334.0
5080.0,127.0
5085.0,94.0
5090.0,128.0
5095.0,172.0
5100.0,223.0
5105.0,202.0
5110.0,13.0
5115.0,36.0
5120.0,95.0
5125.0,184.0
5130.0,301.0
5135.0,452.0
5140.0,631.0
5145.0,821.0
5150.0,846.0
5155.0,629.0
5160.0,477.0
5165.0,307.0
5170.0,116.0
5175.0,161.0
5180.0,209.0
5185.0,265.0
5190.0,331.0
5195.0,159.0
5200.0,23.0
5205.0,58.0
5210.0,129.0
5215.0,229.0
5220.0,359.0
5225.0,519.0
5230.0,706.0
5235.0,896.0
5240.0,755.0
5245.0,562.0
5250.0,364.0
5255.0,146.0
5260.0,88.0
5265.0,126.0
5270.0,166.0
5275.0,206.0
5280.0,246.0
5285.0,7.0
5290.0,39.0
5295.0,100.0
5300.0,188.0
5305.0,311.0
5310.0,471.0
5315.0,652.0
5320.0,842.0
5325.0,947.0
5330.0,706.0
5335.0,496.0
5340.0,260.0
5345.0,27.0
5350.0,37.0
5355.0,55.0
5360.0,80.0
5365.0,105.0
5370.0,22.0
5375.0,16.0
5380.0,56.0
5385.0,120.0
5390.0,211.0
5395.0,333.0
5400.0,485.0
5405.0,667.0
5410.0,857.0
5415.0,791.0
5420.0,597.0
5425.0,387.0
5430.0,193.0
5435.0,32.0
5440.0,47.0
5445.0,66.0
5450.0,91.0
5455.0,116.0
5460.0,3.0
5465.0,28.0
5470.0,79.0
5475.0,161.0
5480.0,270.0
5485.0,411.0
5490.0,584.0
5495.0,774.0
5500.0,964.0
5505.0,730.0
5510.0,523.0
5515.0,308.0
5520.0,107.0
5525.0,73.0
5530.0,109.0
5535.0,156.0
5540.0,211.0
5545.0,194.0
5550.0,7.0
5555.0,43.0
5560.0,109.0
5565.0,207.0
5570.0,337.0
5575.0,496.0
5580.0,686.0
5585.0,876.0
5590.0,899.0
5595.0,659.0
5600.0,439.0
5605.0,225.0
5610.0,15.0
5615.0,20.0
5620.0,25.0
5625.0,30.0
5630.0,35.0
5635.0,1.0
5640.0,21.0
5645.0,67.0
5650.0,137.0
5655.0,235.0
5660.0,368.0
5665.0,535.0
5670.0,724.0
5675.0,914.0
5680.0,765.0
5685.0,537.0
5690.0,334.0
5695.0,161.0
5700.0,60.0
5705.0,85.0
5710.0,119.0
5715.0,154.0
5720.0,194.0
5725.0,8.0
5730.0,49.0
5735.0,121.0
5740.0,223.0
5745.0,353.0
5750.0,513.0
5755.0,699.0
5760.0,889.0
5765.0,993.0
5770.0,740.0
5775.0,504.0
5780.0,322.0
5785.0,44.0
5790.0,16.0
5795.0,21.0
5800.0,28.0
5805.0,41.0
5810.0,0.0
5815.0,21.0
5820.0,71.0
5825.0,151.0
5830.0,260.0
5835.0,405.0
5840.0,580.0
5845.0,770.0
5850.0,960.0
5855.0,889.0
5860.0,636.0
5865.0,409.0
5870.0,234.0
5875.0,68.0
5880.0,102.0
5885.0,141.0
5890.0,193.0
5895.0,248.0
5900.0,49.0
5905.0,27.0
5910.0,70.0
5915.0,137.0
5920.0,236.0
5925.0,365.0
5930.0,524.0
5935.0,709.0
5940.0,899.0
5945.0,675.0
5950.0,458.0
5955.0,287.0
5960.0,92.0
5965.0,56.0
5970.0,85.0
5975.0,119.0
5980.0,159.0
5985.0,124.0
5990.0,17.0
5995.0,62.0
6000.0,137.0
6005.0,241.0
6010.0,375.0
6015.0,538.0
